source,compute_flops,n_params,n_tokens,hex_color,loss_colorbar_cal,loss_epoch_ai
chinchilla_fig4_left,3.65008626666373e+19,476679393.2853644,12762198653.434006,#9f1a5b,2.66436,2.704172606664561
chinchilla_fig4_left,4.0846797781193245e+19,496871706.49449706,13701322778.527483,#9c1b5b,2.6398,2.6799733296868915
chinchilla_fig4_left,4.728248658294281e+19,572354081.4240062,13768425326.651196,#971c5b,2.60741,2.6480441566036577
chinchilla_fig4_left,5.480155175174054e+19,647836450.1118513,14098607691.874199,#931c5b,2.59136,2.628284835801397
chinchilla_fig4_left,6.2919702231982875e+19,706700033.2571536,14838851769.019157,#921c5b,2.57539,2.616495387341047
chinchilla_fig4_left,7.38025589809646e+19,796527166.7455841,15442569959.14399,#8e1d5b,2.55953,2.5969714788717795
chinchilla_fig4_left,5.71581967953551e+19,616873503.4096147,15442981551.168217,#931c5b,2.59136,2.628284835801397
chinchilla_fig4_left,8.347186085099418e+19,871001327.0432507,15972394503.376242,#8b1d5b,2.53592,2.577587469373751
chinchilla_fig4_left,1.122792211848169e+20,1115515322.1905503,16775389058.80332,#811e5a,2.47398,2.5165346421087142
chinchilla_fig4_left,9.997737367681648e+19,993257812.1035461,16776002574.310139,#871e5b,2.51252,2.554520985765487
chinchilla_fig4_left,2.8763671050939133e+21,9068351131.332289,52864573787.76216,#511e4d,2.19244,2.23898782691094
chinchilla_fig4_left,2.877881851742459e+21,6631107226.954843,72332863709.5007,#4b1d4a,2.15867,2.205693537488266
chinchilla_fig4_left,2.98906954837196e+21,4406682750.476579,113050629298.90195,#4b1d4a,2.15867,2.205693537488266
chinchilla_fig4_left,2.7202666574454444e+19,298207689.09171045,15203423413.454512,#a6195a,2.70578,2.7449912897159163
chinchilla_fig4_left,2.53208286706818e+19,271586468.82723224,15538837888.366634,#aa185a,2.73093,2.7697776574701383
chinchilla_fig4_left,2.538658292365118e+19,211455603.73166123,20009387688.354465,#ab185a,2.73937,2.7780894167931174
